Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,Trained teachers in primary education (% of total teachers),SE.PRM.TCAQ.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,99.47552,100,99.48187,99.82818,100,99.83444,99.50083,,,,,,
Afghanistan,AFG,Trained teachers in primary education (% of total teachers),SE.PRM.TCAQ.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Trained teachers in primary education (% of total teachers),SE.PRM.TCAQ.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.48642,,,,,,,
Albania,ALB,Trained teachers in primary education (% of total teachers),SE.PRM.TCAQ.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Trained teachers in primary education (% of total teachers),SE.PRM.TCAQ.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,
Arab World,ARB,Trained teachers in primary education (% of total teachers),SE.PRM.TCAQ.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.71009,94.10183,92.52682,92.07892,93.16826,92.87575,90.06751,85.06294,83.63295,85.70912,84.70274,84.41139,83.16676,
United Arab Emirates,ARE,Trained teachers in primary education (% of total teachers),SE.PRM.TCAQ.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.85086,59.96523,,,,,,,100,100,100,100,100,,
Argentina,ARG,Trained teachers in primary education (% of total teachers),SE.PRM.TCAQ.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,Trained teachers in primary education (% of total teachers),SE.PRM.TCAQ.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.32563,,,,,66.65664,77.45596,,,,,,,,,,,,,
American Samoa,ASM,Trained teachers in primary education (% of total teachers),SE.PRM.TCAQ.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Trained teachers in primary education (% of total teachers),SE.PRM.TCAQ.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.90647,,,,,,,67.28625,52.88889,57.1223,54.75234,64.83957,60.13245,,70.16807,65.29161,,,
Australia,AUS,Trained teachers in primary education (% of total teachers),SE.PRM.TCAQ.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,Trained teachers in primary education (% of total teachers),SE.PRM.TCAQ.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,Trained teachers in primary education (% of total teachers),SE.PRM.TCAQ.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.97555,99.93328,99.94324,100,99.62546,99.81896,99.97633,99.98141,99.99773,99.94087,99.91635,99.97936,99.98844,99.99272,99.56842,99.35141,99.27994,,98.03782,
Burundi,BDI,Trained teachers in primary education (% of total teachers),SE.PRM.TCAQ.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.50998,,87.41586,,91.18906,,94.18189,94.98716,,92.15134,100,100,100,
Belgium,BEL,Trained teachers in primary education (% of total teachers),SE.PRM.TCAQ.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,Trained teachers in primary education (% of total teachers),SE.PRM.TCAQ.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.69819,64.99718,,,77.9996,72.17684,,,,,40.39822,42.63103,46.88956,,,67.59375,69.09717,70.41661,68.26635,
Burkina Faso,BFA,Trained teachers in primary education (% of total teachers),SE.PRM.TCAQ.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.41774,,86.84698,89.49235,88.25822,86.94176,87.66789,87.66039,86.11446,,,94.83248,85.58639,84.3586,85.42001,73.19373,85.83756,
Bangladesh,BGD,Trained teachers in primary education (% of total teachers),SE.PRM.TCAQ.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4022,51.43224,55.999,54.36333,58.40753,,57.73415,,,,47.579,50.43132,50.43127,
